Sales Document;Sales Document Item;PO;Purchase Order Date;Sold-To Party;Customer;Country;Ship to;Order Quantity;QTY not delivered;Material;Customer Material;Description;Open value;Document Currency;1. confirmed ship date;Current ship date;Information 'Current ship date';'# of Days moved;Incoterms;in transit without POD
29194576;10;PO-20-12297;05.11.2020;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;1;916-021;;BIOROBOTIX, 40UL, BECKMAN FX;327,60;EUR;02.06.2021;2022-05-18;;246;FCA;C
29197630;80;PO-20-13087;19.11.2020;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;5000-1012;;SYSTEM 100 CRYOGENIC VI EM;182,50;EUR;13.01.2021;2022-06-15;;361;FCA;
29214622;70;PO-21-02186;12.02.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342020-0125;;STER. PETG MEDIA BTL., 125ML EM;128,00;EUR;02.06.2021;2022-05-25;;251;FCA;
29220418;100;PO-21-03547;12.03.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;5;5;AB-2005;;EasyStrip Plus /UltraClear Caps;362,55;EUR;12.05.2021;2022-06-08;;272;FCA;
29222393;20;PO-21-04128;23.03.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;3465NK;;'.5mlScrwCapTube,NoKnrl,Skrt,Nat,ST,w/cap;455,40;EUR;20.06.2022;2022-08-31;;50;FCA;
29225540;30;PO-21-05112;09.04.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;5000-1012;;SYSTEM 100 CRYOGENIC VI EM;376,00;EUR;02.06.2021;2023-01-11;;410;FCA;
29228967;20;PO-21-06049;28.04.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;50094713;;Maxi Direct w. power supply 110-240V;415,30;EUR;30.06.2021;2022-08-10;;283;FCA;
29228967;30;PO-21-06049;28.04.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;50134948;;Cimarec i Maxi Direct w/o power supply;0,00;EUR;30.06.2021;2022-08-10;;283;FCA;
29228967;40;PO-21-06049;28.04.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;50117675;;PWR SUPP110-240VAC/24VDC/24W EU/UK/US/AU;0,00;EUR;30.06.2021;2022-08-10;;283;FCA;
29228967;50;PO-21-06049;28.04.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;50134773;;BA MAXI DIRECT POLY15 MULTIPOINT6/15;0,00;EUR;30.06.2021;2022-08-10;;283;FCA;
